id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salario janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-25,CLI001,debito,220.00,Farmacia,compra
4,2026-02-03,CLI004,credito,4200.00,Deposito,transferencia
5,2026-02-14,CLI003,credito,15000.00,Transferencia recebida,transferencia
6,2026-02-18,CLI004,debito,320.00,Conta de luz,conta
7,2026-03-01,CLI001,credito,3500.00,Salario marco,salario
8,2026-03-10,CLI005,debito,49.90,Streaming,assinatura
9,2026-03-15,CLI002,credito,12500.00,Venda de veiculo,transferencia
10,2026-03-22,CLI003,debito,850.00,Passagem aerea,viagem
11,2026-04-05,CLI001,credito,3500.00,Salario abril,salario
12,2026-04-19,CLI005,debito,1200.00,Aluguel,moradia
13,2026-01-20,CLI003,debito,abc,Erro de sistema,compra
14,2026-02-07,,credito,900.00,Deposito sem cliente,transferencia
15,15/03/2026,CLI002,debito,75.00,Data malformada,compra
